24000 22
722 0.4 358
803 1.2 164
116 0.9 149
717 0.5 133
1601 0.8 127
108 1.0 162
328 0.7 174
952 1.1 354
1403 0.5 175
805 1.2 382
170 0.8 363
529 1.1 368
1244 1.2 233
423 1.1 335
631 0.9 251
785 0.7 361
303 1.1 141
435 1.1 298
1613 0.6 308
1601 1.1 380
1689 0.7 215
343 0.6 148
209 0.6 166
1599 0.6 207
450 0.8 223
1469 1.0 359
1003 0.9 180
1373 1.1 290
680 0.5 222
388 0.8 342
1395 0.5 136
314 0.4 391
1360 0.8 361
1356 1.1 262
1241 0.9 227
501 0.6 137
990 0.8 284
124 0.8 122
1643 0.4 314
1535 0.4 283
1382 1.1 366
457 0.8 220
1644 0.9 316
1148 1.1 331
1561 0.6 115
1340 0.6 344
1457 0.9 200
788 1.2 339
1620 1.0 141
326 0.7 309
861 0.7 331
299 0.5 332
1555 1.0 130
1074 0.5 253
1158 1.0 124
353 0.6 277
1636 0.4 352
681 1.0 284
666 0.4 206
1069 0.4 164
